Brand,Year,Mileage,Transmission,Horsepower,Condition,Color,Price
Toyota Corolla,2016,94770,Manual,244,Salvage,Gray,6963
Volkswagen Golf,2018,91854,Automatic,215,Repaired,Gray,18203
Fiat Tipo,2024,9640,Automatic,107,Salvage,Gray,14962
Volkswagen Golf,2023,28776,Automatic,161,Salvage,Gray,17780
Honda Civic,2017,78600,Manual,226,Clean Title,White,19266
Toyota Corolla,2024,12103,Automatic,270,Clean Title,Blue,37553
BMW 3 Series,2022,39162,Automatic,279,Minor Scratches,Red,55844
BMW 3 Series,2024,9410,Automatic,245,Minor Scratches,Gray,65622
Tesla Model 3,2021,46520,Manual,109,Salvage,Gray,26310
Fiat Tipo,2016,76221,Manual,164,Minor Scratches,White,10735
Toyota Corolla,2016,84015,Automatic,226,Salvage,Red,8213
Tesla Model 3,2017,90560,Manual,220,Minor Scratches,White,33581
Fiat Tipo,2016,104499,Automatic,290,Minor Scratches,Red,9507
BMW 3 Series,2022,37776,Automatic,205,Clean Title,Black,66761
BMW 3 Series,2020,68325,Automatic,232,Repaired,Red,42924
Honda Civic,2022,27804,Manual,218,Clean Title,Gray,32518
BMW 3 Series,2018,63483,Manual,209,Clean Title,Gray,47921
Honda Civic,2022,40788,Automatic,297,Salvage,Blue,17020
Honda Civic,2017,85808,Automatic,177,Repaired,Blue,16184
Ford Focus,2017,94608,Manual,159,Salvage,White,7303
Tesla Model 3,2024,12262,Manual,160,Salvage,Red,29138
Fiat Tipo,2015,118270,Manual,177,Repaired,White,5113
Fiat Tipo,2021,37728,Automatic,288,Minor Scratches,Gray,20813
Volkswagen Golf,2020,65160,Manual,138,Salvage,Blue,13113
Toyota Corolla,2015,144390,Manual,118,Clean Title,Blue,7472
BMW 3 Series,2021,43832,Automatic,203,Clean Title,White,59859
Tesla Model 3,2022,42120,Manual,210,Salvage,Gray,27645
BMW 3 Series,2024,9594,Automatic,118,Salvage,Blue,37114
Ford Focus,2024,12960,Automatic,164,Minor Scratches,Red,31537
Fiat Tipo,2017,74896,Automatic,186,Salvage,Red,7050
Volkswagen Golf,2019,65940,Automatic,168,Minor Scratches,White,24631
Tesla Model 3,2024,9920,Automatic,205,Repaired,Red,51804
Honda Civic,2017,95224,Automatic,298,Salvage,Gray,9281
Fiat Tipo,2022,25725,Automatic,215,Repaired,Black,20068
Toyota Corolla,2020,63755,Automatic,211,Minor Scratches,White,22607
Honda Civic,2022,43083,Manual,203,Minor Scratches,White,28113
Honda Civic,2016,125955,Automatic,101,Clean Title,White,14107
Ford Focus,2019,72714,Automatic,231,Clean Title,Gray,19938
Tesla Model 3,2022,26820,Automatic,145,Repaired,Black,44285
Fiat Tipo,2020,45205,Automatic,276,Repaired,Gray,16222
Tesla Model 3,2022,29901,Manual,216,Repaired,Black,43752
Tesla Model 3,2020,70785,Automatic,150,Salvage,White,22522
Toyota Corolla,2016,104886,Automatic,200,Minor Scratches,White,12442
Volkswagen Golf,2021,41656,Automatic,244,Repaired,Blue,24755
Volkswagen Golf,2020,46030,Manual,209,Repaired,Red,23721
Tesla Model 3,2022,31893,Manual,189,Salvage,Blue,26044
BMW 3 Series,2020,52260,Manual,254,Repaired,Blue,41846
BMW 3 Series,2016,87543,Automatic,163,Repaired,Red,32525
Ford Focus,2020,68690,Automatic,138,Minor Scratches,Black,19853
Fiat Tipo,2020,56055,Automatic,113,Salvage,Black,9729
BMW 3 Series,2019,86538,Manual,136,Clean Title,White,49197
BMW 3 Series,2018,61285,Automatic,165,Salvage,Gray,24758
BMW 3 Series,2019,65346,Manual,137,Minor Scratches,Black,43702
Fiat Tipo,2019,57234,Automatic,128,Salvage,White,8825
Tesla Model 3,2020,58050,Manual,161,Clean Title,White,46488
Volkswagen Golf,2022,39813,Automatic,189,Clean Title,Blue,33925
Fiat Tipo,2019,85998,Manual,181,Clean Title,Black,13906
Toyota Corolla,2017,117816,Automatic,193,Clean Title,White,14289
Fiat Tipo,2020,40930,Automatic,109,Salvage,Gray,10534
Ford Focus,2022,38241,Manual,204,Salvage,Blue,14051
Ford Focus,2019,60114,Automatic,137,Salvage,Blue,11168
Volkswagen Golf,2019,85266,Automatic,101,Clean Title,White,23687
Tesla Model 3,2016,81459,Automatic,157,Clean Title,Black,34924
BMW 3 Series,2018,89614,Manual,107,Salvage,Blue,23432
Volkswagen Golf,2018,66822,Automatic,202,Clean Title,Blue,24769
BMW 3 Series,2018,68439,Automatic,102,Salvage,Blue,25430
Tesla Model 3,2018,62643,Manual,182,Minor Scratches,Red,38283
Ford Focus,2020,64905,Manual,280,Minor Scratches,Red,19934
Tesla Model 3,2016,96489,Manual,297,Minor Scratches,Blue,30607
Ford Focus,2017,73880,Manual,288,Repaired,Gray,12894
Fiat Tipo,2023,16566,Automatic,148,Clean Title,Black,26743
Fiat Tipo,2018,90069,Manual,209,Minor Scratches,Black,11200
Tesla Model 3,2023,17136,Manual,177,Clean Title,Red,59823
Fiat Tipo,2021,36464,Automatic,264,Repaired,Gray,19288
BMW 3 Series,2021,41704,Automatic,284,Repaired,White,46822
Tesla Model 3,2019,52938,Manual,198,Minor Scratches,Black,41957
Fiat Tipo,2024,14678,Automatic,235,Salvage,Gray,14362
Volkswagen Golf,2022,27678,Manual,186,Minor Scratches,Gray,29212
Fiat Tipo,2016,121176,Manual,142,Repaired,Gray,5578
Tesla Model 3,2016,103275,Automatic,181,Salvage,White,17431
Honda Civic,2021,37468,Manual,300,Salvage,Blue,14644
Tesla Model 3,2019,65028,Automatic,232,Salvage,Red,22301
Ford Focus,2024,10091,Manual,116,Minor Scratches,White,28630
Volkswagen Golf,2022,30798,Automatic,113,Salvage,Gray,17844
Toyota Corolla,2017,78456,Automatic,127,Clean Title,White,18402
BMW 3 Series,2016,85707,Manual,233,Clean Title,Black,39835
Toyota Corolla,2016,104787,Manual,289,Repaired,Gray,10071
Honda Civic,2022,35574,Automatic,220,Clean Title,Blue,34599
Ford Focus,2019,85608,Automatic,292,Minor Scratches,White,16837
Tesla Model 3,2017,87344,Automatic,198,Clean Title,Black,38132
Fiat Tipo,2020,71645,Automatic,177,Clean Title,Gray,18778
Tesla Model 3,2016,120951,Automatic,245,Minor Scratches,Black,28999
Honda Civic,2020,51330,Manual,116,Repaired,White,20872
Toyota Corolla,2018,75586,Manual,185,Salvage,Blue,9433
Ford Focus,2020,40620,Manual,231,Clean Title,Blue,23569
BMW 3 Series,2022,28392,Automatic,116,Minor Scratches,Gray,57069
Fiat Tipo,2017,66544,Automatic,261,Repaired,Blue,12016
BMW 3 Series,2023,22632,Automatic,122,Minor Scratches,Blue,62779
Fiat Tipo,2016,99126,Manual,299,Minor Scratches,Blue,8739
BMW 3 Series,2015,148110,Automatic,145,Clean Title,Blue,31169
Honda Civic,2022,25005,Manual,260,Minor Scratches,White,30339
Volkswagen Golf,2016,80100,Automatic,200,Minor Scratches,Blue,18276
Fiat Tipo,2020,62540,Manual,212,Clean Title,Black,17920
Honda Civic,2015,122830,Manual,256,Clean Title,Gray,11304
Ford Focus,2023,23492,Automatic,143,Clean Title,Red,30252
Fiat Tipo,2017,86928,Manual,273,Clean Title,Red,11893
Volkswagen Golf,2022,33132,Automatic,188,Salvage,Gray,17496
Ford Focus,2020,65710,Automatic,119,Clean Title,Black,22290
Volkswagen Golf,2019,51954,Manual,168,Clean Title,Blue,25286
Tesla Model 3,2016,99009,Manual,243,Repaired,Red,26610
Volkswagen Golf,2021,59912,Manual,202,Salvage,White,14665
Tesla Model 3,2017,106328,Automatic,136,Repaired,Blue,29225
Volkswagen Golf,2023,25232,Manual,193,Salvage,Red,17651
Ford Focus,2021,38720,Manual,163,Salvage,Blue,12870
Toyota Corolla,2020,71045,Manual,180,Minor Scratches,Blue,20542
Honda Civic,2015,143310,Manual,120,Salvage,Blue,4605
Honda Civic,2020,47650,Automatic,198,Salvage,Blue,14148
Toyota Corolla,2022,39243,Manual,298,Minor Scratches,White,26143
Toyota Corolla,2020,74920,Automatic,287,Repaired,Red,18718
Ford Focus,2016,123003,Manual,208,Repaired,Blue,8314
Toyota Corolla,2017,102752,Automatic,270,Salvage,Black,8350
Tesla Model 3,2016,100674,Automatic,227,Minor Scratches,White,31844
Ford Focus,2021,38140,Automatic,277,Repaired,Black,21555
Toyota Corolla,2017,107648,Manual,111,Minor Scratches,Black,13130
Fiat Tipo,2024,14159,Automatic,207,Repaired,Gray,22678
BMW 3 Series,2019,84840,Manual,224,Repaired,Black,39164
Fiat Tipo,2021,45608,Automatic,258,Repaired,Gray,17787
Tesla Model 3,2021,59656,Automatic,205,Clean Title,White,50684
Honda Civic,2015,109010,Automatic,268,Minor Scratches,White,13736
Volkswagen Golf,2016,72549,Manual,249,Salvage,Red,9346
Volkswagen Golf,2016,105102,Automatic,151,Minor Scratches,Blue,15829
Tesla Model 3,2020,72170,Manual,257,Repaired,Blue,36663
Toyota Corolla,2018,71876,Automatic,207,Minor Scratches,Gray,18084
Volkswagen Golf,2019,51300,Manual,209,Clean Title,Gray,26725
Volkswagen Golf,2021,55268,Manual,231,Repaired,Black,22605
Volkswagen Golf,2019,71754,Manual,225,Salvage,Blue,12183
Ford Focus,2018,80094,Manual,209,Salvage,White,8770
Volkswagen Golf,2017,118328,Automatic,276,Salvage,White,8935
Toyota Corolla,2019,78138,Automatic,204,Minor Scratches,Black,19236
Ford Focus,2018,100667,Manual,269,Clean Title,Red,15195
Volkswagen Golf,2021,37944,Automatic,155,Minor Scratches,Black,29611
Volkswagen Golf,2021,47680,Manual,210,Minor Scratches,Black,26504
Honda Civic,2016,101079,Manual,300,Salvage,Blue,7644
Fiat Tipo,2016,86814,Automatic,164,Clean Title,Red,12498
Tesla Model 3,2021,46592,Manual,168,Repaired,Blue,41674
Ford Focus,2016,75654,Manual,220,Minor Scratches,Blue,13515
Ford Focus,2022,38328,Automatic,209,Clean Title,White,28881
Volkswagen Golf,2020,71995,Manual,123,Repaired,Gray,21005
Ford Focus,2019,58266,Manual,226,Minor Scratches,Black,17959
Honda Civic,2015,102400,Manual,267,Salvage,Red,6718
Volkswagen Golf,2023,19234,Manual,106,Salvage,Red,18181
Ford Focus,2015,116920,Manual,241,Clean Title,Blue,9609
Toyota Corolla,2017,76272,Manual,208,Clean Title,White,17525
BMW 3 Series,2024,14545,Automatic,186,Repaired,Blue,56034
Ford Focus,2015,91650,Manual,179,Salvage,Red,5999
Ford Focus,2019,65076,Automatic,106,Salvage,Red,10503
Honda Civic,2015,111250,Manual,152,Minor Scratches,Red,11711
Volkswagen Golf,2016,125037,Manual,114,Minor Scratches,Red,12534
Tesla Model 3,2023,23624,Automatic,244,Salvage,Gray,28976
Toyota Corolla,2015,100460,Manual,209,Salvage,White,5982
Honda Civic,2022,37392,Automatic,265,Salvage,Gray,16100
BMW 3 Series,2017,119304,Automatic,236,Salvage,Black,20698
Honda Civic,2021,39764,Automatic,286,Salvage,Blue,15087
Honda Civic,2016,109089,Automatic,243,Clean Title,White,16584
Toyota Corolla,2021,38728,Manual,296,Salvage,Black,13494
BMW 3 Series,2022,40266,Automatic,253,Salvage,Black,30269
Honda Civic,2023,26284,Automatic,137,Salvage,White,18262
Volkswagen Golf,2019,78168,Automatic,288,Salvage,Gray,13031
Tesla Model 3,2022,38874,Manual,285,Clean Title,Black,52524
Toyota Corolla,2018,63455,Automatic,251,Minor Scratches,Gray,19077
Toyota Corolla,2022,43986,Manual,224,Minor Scratches,Black,24605
Tesla Model 3,2015,129590,Automatic,133,Minor Scratches,Gray,24752
Fiat Tipo,2020,41755,Automatic,150,Repaired,Gray,17200
Volkswagen Golf,2017,85168,Automatic,264,Minor Scratches,Red,18936
Tesla Model 3,2020,64120,Automatic,246,Salvage,Red,22973
Tesla Model 3,2016,82368,Automatic,185,Repaired,Black,29432
BMW 3 Series,2016,76779,Automatic,108,Salvage,Black,20319
Toyota Corolla,2024,11094,Manual,125,Salvage,Gray,17356
Tesla Model 3,2020,40480,Manual,216,Minor Scratches,Red,43249
BMW 3 Series,2018,62650,Automatic,158,Minor Scratches,Black,45350
Toyota Corolla,2018,80661,Automatic,267,Clean Title,Blue,20193
Tesla Model 3,2017,65088,Manual,193,Repaired,White,29734
Honda Civic,2018,57078,Automatic,241,Salvage,Red,12627
Fiat Tipo,2022,27882,Manual,204,Clean Title,Gray,24179
Volkswagen Golf,2018,65968,Automatic,137,Salvage,White,12606
Ford Focus,2021,51276,Automatic,115,Clean Title,Gray,25294
Fiat Tipo,2024,14274,Automatic,225,Salvage,Gray,14209
Honda Civic,2015,96270,Automatic,280,Repaired,White,12948
Volkswagen Golf,2015,128580,Manual,166,Repaired,White,9958
Volkswagen Golf,2023,18728,Manual,255,Minor Scratches,Blue,32144
Fiat Tipo,2023,22864,Manual,298,Minor Scratches,White,23404
Toyota Corolla,2015,124050,Automatic,220,Minor Scratches,Gray,9498
Tesla Model 3,2016,80091,Manual,290,Repaired,Blue,27733
Ford Focus,2017,85392,Manual,202,Clean Title,Blue,14945
Tesla Model 3,2015,84340,Automatic,197,Repaired,Black,27646
Fiat Tipo,2016,97857,Automatic,106,Repaired,Blue,8502
BMW 3 Series,2019,89202,Manual,227,Minor Scratches,Red,42749
Honda Civic,2023,27612,Automatic,105,Clean Title,Blue,34708
Honda Civic,2023,28304,Automatic,217,Repaired,Blue,29505
Honda Civic,2016,124245,Manual,291,Clean Title,Gray,12780
BMW 3 Series,2024,13051,Automatic,186,Clean Title,Black,73221
Tesla Model 3,2022,29925,Automatic,270,Minor Scratches,White,52897
BMW 3 Series,2019,76512,Automatic,135,Salvage,Blue,24684
Tesla Model 3,2022,36633,Manual,123,Repaired,White,44818
Honda Civic,2023,24592,Automatic,293,Minor Scratches,White,32748
Ford Focus,2017,119400,Manual,132,Clean Title,Red,12450
Toyota Corolla,2019,67536,Automatic,123,Repaired,Black,17887
BMW 3 Series,2016,97587,Automatic,156,Repaired,White,31399
Honda Civic,2019,50994,Automatic,209,Minor Scratches,Black,23993
Tesla Model 3,2018,96908,Automatic,245,Clean Title,Gray,39883
Volkswagen Golf,2019,83070,Automatic,231,Minor Scratches,Gray,21851
BMW 3 Series,2022,37608,Manual,134,Clean Title,Gray,65218
Tesla Model 3,2018,98266,Manual,105,Clean Title,Gray,36639
Toyota Corolla,2022,33255,Manual,153,Repaired,Black,22692
Honda Civic,2015,140480,Automatic,132,Minor Scratches,Gray,10320
Honda Civic,2017,73880,Manual,244,Minor Scratches,Red,17027
Tesla Model 3,2022,39528,Manual,174,Repaired,Blue,44729
Volkswagen Golf,2024,8472,Manual,277,Repaired,Blue,31637
Ford Focus,2019,75432,Manual,167,Salvage,Black,9193
BMW 3 Series,2020,40525,Manual,294,Clean Title,Red,56119
Honda Civic,2024,12866,Manual,244,Salvage,White,18714
BMW 3 Series,2019,80958,Automatic,241,Clean Title,White,51829
Tesla Model 3,2015,103490,Automatic,294,Salvage,Black,16348
Volkswagen Golf,2021,39948,Automatic,116,Clean Title,Black,33943
BMW 3 Series,2015,86050,Automatic,251,Minor Scratches,White,34185
Honda Civic,2018,79457,Automatic,293,Minor Scratches,Gray,19341
Ford Focus,2023,20676,Manual,226,Salvage,Black,15404
BMW 3 Series,2021,43972,Automatic,265,Clean Title,Red,61781
Ford Focus,2024,12864,Manual,299,Salvage,Gray,15969
Volkswagen Golf,2020,73050,Automatic,222,Clean Title,Gray,27897
Tesla Model 3,2015,129970,Manual,234,Repaired,Red,20784
Volkswagen Golf,2023,28846,Automatic,215,Minor Scratches,White,32703
BMW 3 Series,2017,89504,Manual,114,Clean Title,White,42649
BMW 3 Series,2015,120970,Manual,274,Clean Title,White,32052
Tesla Model 3,2023,29202,Automatic,231,Salvage,Gray,29075
Fiat Tipo,2023,27090,Automatic,192,Clean Title,Blue,26563
BMW 3 Series,2023,25476,Manual,215,Salvage,White,34113
Tesla Model 3,2021,39596,Manual,122,Repaired,Red,39159
Tesla Model 3,2016,115515,Manual,139,Salvage,White,14887
Tesla Model 3,2017,96040,Automatic,112,Minor Scratches,White,31620
Fiat Tipo,2016,99603,Automatic,281,Clean Title,White,10454
Volkswagen Golf,2024,9103,Automatic,202,Salvage,Black,20160
Ford Focus,2019,68256,Manual,212,Salvage,Red,10365
Ford Focus,2015,119980,Automatic,271,Salvage,Black,5366
Ford Focus,2017,72832,Automatic,155,Minor Scratches,White,16316
BMW 3 Series,2022,34164,Manual,105,Clean Title,Black,62700
Toyota Corolla,2019,82434,Automatic,290,Repaired,White,17360
Ford Focus,2024,9666,Automatic,150,Repaired,Gray,27822
BMW 3 Series,2016,76707,Manual,165,Repaired,Blue,33089
Volkswagen Golf,2023,18582,Manual,149,Minor Scratches,White,32235
Tesla Model 3,2020,74060,Manual,165,Salvage,Red,23664
BMW 3 Series,2021,32600,Automatic,213,Minor Scratches,Gray,55162
Tesla Model 3,2023,24532,Manual,228,Minor Scratches,Blue,52628
Honda Civic,2023,24580,Manual,256,Salvage,Black,17431
Toyota Corolla,2017,74456,Automatic,180,Minor Scratches,Red,17099
BMW 3 Series,2017,112608,Manual,279,Repaired,Black,31602
Ford Focus,2023,24496,Automatic,236,Clean Title,Red,30213
Tesla Model 3,2019,57150,Manual,175,Salvage,White,22132
Tesla Model 3,2018,104713,Manual,189,Clean Title,Red,35707
Toyota Corolla,2017,102880,Automatic,296,Clean Title,Black,15995
Fiat Tipo,2022,34374,Manual,116,Salvage,Black,11342
Ford Focus,2020,68150,Manual,281,Salvage,Red,10245
BMW 3 Series,2016,110331,Manual,206,Repaired,White,30062
Ford Focus,2019,70494,Automatic,160,Repaired,Blue,16862
Ford Focus,2015,129480,Automatic,186,Clean Title,Black,9483
Honda Civic,2017,108336,Automatic,158,Repaired,Black,14982
Honda Civic,2017,107080,Manual,115,Salvage,Gray,8211
Volkswagen Golf,2022,28551,Manual,272,Salvage,Blue,16858
Honda Civic,2020,55975,Manual,200,Clean Title,Black,26179
Fiat Tipo,2017,87288,Automatic,138,Repaired,White,10224
Toyota Corolla,2015,148130,Manual,212,Salvage,Blue,3558
Toyota Corolla,2024,13908,Manual,138,Repaired,Gray,27202
BMW 3 Series,2021,47580,Manual,249,Minor Scratches,Black,51542
Volkswagen Golf,2016,110601,Automatic,108,Clean Title,White,17848
Volkswagen Golf,2024,9874,Manual,143,Minor Scratches,White,34638
Volkswagen Golf,2020,73215,Automatic,264,Salvage,Black,13745
Tesla Model 3,2015,81250,Automatic,177,Salvage,White,16299
Tesla Model 3,2015,117540,Manual,234,Clean Title,Black,29442
BMW 3 Series,2017,96960,Automatic,134,Minor Scratches,Blue,37279
Honda Civic,2020,61635,Automatic,220,Minor Scratches,Black,25566
Honda Civic,2024,8500,Automatic,121,Repaired,Gray,30490
Honda Civic,2015,94630,Manual,265,Minor Scratches,Red,12524
BMW 3 Series,2024,10510,Manual,143,Minor Scratches,Black,66884
Toyota Corolla,2016,101763,Automatic,125,Repaired,White,12418
Toyota Corolla,2024,11422,Automatic,122,Salvage,Black,18578
Tesla Model 3,2023,24342,Manual,166,Repaired,Red,44781
Toyota Corolla,2018,79443,Manual,130,Salvage,Gray,9110
Toyota Corolla,2018,56126,Automatic,256,Minor Scratches,Blue,20844
Volkswagen Golf,2019,72336,Manual,130,Salvage,White,12606
Toyota Corolla,2016,92610,Manual,100,Repaired,White,11527
Ford Focus,2019,75552,Automatic,294,Clean Title,Blue,20388
Ford Focus,2022,30951,Automatic,154,Minor Scratches,Gray,26315
Toyota Corolla,2019,52026,Manual,135,Minor Scratches,White,20835
Volkswagen Golf,2015,111580,Manual,103,Clean Title,Red,13384
Ford Focus,2017,81280,Automatic,271,Repaired,Gray,13883
Volkswagen Golf,2019,87978,Automatic,290,Minor Scratches,Red,22491
Honda Civic,2020,47790,Automatic,138,Repaired,Blue,22016
Toyota Corolla,2020,43245,Manual,139,Clean Title,Gray,26086
Volkswagen Golf,2020,45250,Manual,126,Minor Scratches,Red,26180
Volkswagen Golf,2024,11650,Manual,140,Minor Scratches,Red,35829
BMW 3 Series,2020,56770,Manual,197,Salvage,Red,26224
Toyota Corolla,2022,34944,Automatic,250,Salvage,Blue,15549
Tesla Model 3,2024,11254,Manual,202,Clean Title,Blue,60756
BMW 3 Series,2019,79386,Automatic,204,Repaired,Black,41026
Volkswagen Golf,2020,63555,Automatic,128,Clean Title,Blue,28284
BMW 3 Series,2016,109710,Automatic,162,Repaired,Black,31458
Toyota Corolla,2018,58961,Automatic,299,Salvage,Black,10668
Volkswagen Golf,2023,24648,Automatic,212,Salvage,Black,18221
Ford Focus,2020,49975,Manual,110,Clean Title,White,23339
Volkswagen Golf,2019,88332,Manual,219,Minor Scratches,Red,21480
Toyota Corolla,2024,12968,Automatic,163,Repaired,Black,28988
Tesla Model 3,2017,79904,Manual,125,Minor Scratches,Gray,33265
Volkswagen Golf,2018,80920,Manual,176,Clean Title,Black,22376
BMW 3 Series,2022,40527,Automatic,192,Repaired,Blue,50548
BMW 3 Series,2020,57055,Manual,276,Minor Scratches,Gray,46882
Toyota Corolla,2020,57870,Manual,153,Clean Title,Gray,23206
Tesla Model 3,2019,68208,Automatic,205,Salvage,Black,21642
Toyota Corolla,2016,93420,Automatic,106,Salvage,Blue,8115
Fiat Tipo,2023,18612,Manual,169,Minor Scratches,White,22745
Honda Civic,2024,13127,Manual,179,Salvage,Red,19281
Tesla Model 3,2018,97811,Manual,254,Minor Scratches,Black,33822
Toyota Corolla,2018,95900,Automatic,203,Minor Scratches,Blue,17193
BMW 3 Series,2022,37149,Automatic,133,Minor Scratches,Black,59123
Volkswagen Golf,2022,28263,Automatic,212,Minor Scratches,Gray,33017
Honda Civic,2016,129897,Automatic,275,Salvage,Black,7183
Fiat Tipo,2024,11728,Manual,186,Salvage,Blue,13658
BMW 3 Series,2020,51715,Manual,107,Minor Scratches,Red,47191
Ford Focus,2015,113200,Automatic,211,Salvage,Red,5510
Honda Civic,2021,50592,Manual,243,Clean Title,Blue,29771
Honda Civic,2019,70314,Manual,138,Minor Scratches,Blue,20166
Tesla Model 3,2015,98300,Manual,128,Clean Title,Blue,28803
Ford Focus,2023,18828,Automatic,276,Salvage,Black,15702
BMW 3 Series,2024,12840,Automatic,299,Repaired,Blue,58586
Honda Civic,2016,102114,Automatic,103,Repaired,Red,13724
Fiat Tipo,2020,56950,Automatic,144,Repaired,Red,15497
BMW 3 Series,2017,99736,Manual,238,Repaired,Black,32852
Toyota Corolla,2024,11829,Manual,101,Salvage,Blue,16772
Ford Focus,2015,101560,Automatic,160,Minor Scratches,Gray,11443
Toyota Corolla,2015,132620,Manual,245,Minor Scratches,White,7846
Ford Focus,2016,105660,Automatic,122,Repaired,Blue,11106
Toyota Corolla,2021,36676,Automatic,294,Clean Title,Black,29320
Fiat Tipo,2015,98640,Manual,183,Clean Title,White,7983
Volkswagen Golf,2022,41712,Automatic,191,Minor Scratches,Black,31827
Toyota Corolla,2024,9173,Automatic,290,Salvage,Black,17618
Honda Civic,2015,122050,Automatic,169,Salvage,White,6666
Fiat Tipo,2020,71985,Automatic,243,Minor Scratches,Black,16372
Tesla Model 3,2016,130725,Manual,291,Salvage,Red,13990
Tesla Model 3,2019,61578,Automatic,182,Minor Scratches,Red,40471
Ford Focus,2015,144820,Manual,206,Salvage,Blue,3410
Tesla Model 3,2024,13306,Manual,235,Salvage,White,29946
Volkswagen Golf,2015,88580,Automatic,137,Repaired,Blue,14718
Honda Civic,2023,18308,Automatic,204,Repaired,Gray,29006
Honda Civic,2017,104560,Automatic,101,Minor Scratches,Red,15887
Toyota Corolla,2021,42224,Automatic,257,Minor Scratches,Red,25852
Honda Civic,2016,109323,Manual,239,Salvage,White,6986
BMW 3 Series,2016,81135,Manual,293,Salvage,White,20650
Tesla Model 3,2015,141550,Manual,151,Salvage,Red,12500
Volkswagen Golf,2018,80689,Automatic,124,Clean Title,Red,24647
BMW 3 Series,2021,38384,Manual,106,Minor Scratches,Black,51359
Toyota Corolla,2024,11373,Automatic,162,Minor Scratches,Blue,31967
Honda Civic,2021,51104,Manual,157,Salvage,Blue,14505
Honda Civic,2023,17814,Automatic,179,Minor Scratches,White,34196
Ford Focus,2019,55842,Manual,106,Clean Title,Black,20051
Fiat Tipo,2022,37344,Automatic,169,Clean Title,Gray,24688
Volkswagen Golf,2024,12337,Automatic,142,Salvage,White,20099
Honda Civic,2020,59865,Manual,213,Clean Title,Red,26024
Toyota Corolla,2018,84812,Manual,149,Repaired,White,14281
Honda Civic,2022,44502,Automatic,176,Repaired,Gray,25637
Tesla Model 3,2022,44529,Automatic,225,Minor Scratches,Red,51057
Toyota Corolla,2019,54132,Manual,262,Minor Scratches,White,19373
BMW 3 Series,2015,104290,Automatic,119,Minor Scratches,White,31553
Fiat Tipo,2023,16040,Automatic,190,Minor Scratches,Blue,23785
Honda Civic,2022,24699,Manual,101,Clean Title,Gray,32308
Toyota Corolla,2021,41900,Automatic,201,Salvage,Red,14672
Honda Civic,2020,53305,Manual,227,Clean Title,Red,26631
Ford Focus,2019,82428,Manual,103,Repaired,Red,15003
Fiat Tipo,2020,58710,Manual,177,Minor Scratches,White,16760
Fiat Tipo,2016,79308,Automatic,290,Clean Title,Blue,13185
Ford Focus,2015,139420,Automatic,270,Clean Title,Black,8848
Tesla Model 3,2024,13193,Manual,104,Clean Title,Gray,63331
Honda Civic,2018,73752,Automatic,148,Minor Scratches,Red,21573
BMW 3 Series,2023,23608,Automatic,158,Repaired,Red,52134
Fiat Tipo,2015,141860,Automatic,119,Repaired,White,4460
Honda Civic,2018,97265,Automatic,135,Clean Title,Blue,20404
Ford Focus,2024,11260,Automatic,241,Minor Scratches,White,30449
Ford Focus,2020,56535,Manual,210,Clean Title,Gray,23014
Fiat Tipo,2024,8965,Manual,217,Minor Scratches,Gray,24630
Toyota Corolla,2018,67249,Automatic,133,Salvage,Black,10174
Toyota Corolla,2023,24152,Manual,185,Repaired,Black,24312
Honda Civic,2015,133930,Manual,138,Salvage,Red,5468
Volkswagen Golf,2018,97496,Manual,210,Repaired,Gray,16052
Ford Focus,2024,13828,Manual,260,Minor Scratches,Black,28906
BMW 3 Series,2016,94500,Manual,154,Clean Title,Gray,38230
Toyota Corolla,2023,16768,Automatic,105,Clean Title,Blue,32749
Honda Civic,2022,33699,Manual,156,Clean Title,Red,30951
Toyota Corolla,2024,11423,Manual,247,Clean Title,Black,35560
Volkswagen Golf,2022,28668,Manual,240,Repaired,Black,28254
Tesla Model 3,2020,54795,Manual,299,Minor Scratches,Black,40244
BMW 3 Series,2021,40164,Automatic,223,Clean Title,Blue,59049
Volkswagen Golf,2016,111843,Automatic,105,Repaired,Gray,14094
Fiat Tipo,2022,28758,Manual,243,Clean Title,Gray,23486
Fiat Tipo,2021,32648,Manual,244,Repaired,Black,17912
Volkswagen Golf,2016,95400,Manual,230,Minor Scratches,Blue,14718
Toyota Corolla,2018,62188,Automatic,108,Repaired,Red,16726
Honda Civic,2022,36609,Automatic,110,Repaired,Gray,25747
BMW 3 Series,2018,58744,Automatic,192,Repaired,Red,38918
Tesla Model 3,2021,51968,Manual,154,Repaired,Blue,39816
Volkswagen Golf,2016,88470,Manual,273,Repaired,Black,14409
Honda Civic,2023,17994,Automatic,241,Minor Scratches,Gray,33595
Fiat Tipo,2015,126030,Automatic,135,Repaired,Gray,5421
Volkswagen Golf,2023,26182,Automatic,272,Clean Title,Gray,36542
BMW 3 Series,2015,135590,Manual,208,Salvage,White,15358
Tesla Model 3,2021,37584,Manual,114,Salvage,Red,25432
Honda Civic,2016,117612,Automatic,290,Clean Title,White,15132
BMW 3 Series,2017,87792,Manual,122,Salvage,Blue,21496
Ford Focus,2018,104972,Manual,168,Salvage,White,7595
Tesla Model 3,2016,110952,Manual,123,Minor Scratches,Blue,28828
Tesla Model 3,2019,78198,Manual,171,Clean Title,Black,42858
